Name,Url,Table,SI
Еремин Алексей Сергеевич,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/245-eremin-aleksej-sergeevich.html,Информационных систем,https://www.elibrary.ru/author_items.asp?authorid=200791&show_refs=1
Ефимова Полина Александровна,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/246-efimova-polina-aleksandrovna.html,Механики управляемого движения,https://www.elibrary.ru/author_items.asp?authorid=795383&pubrole=100&show_refs=1&pubcat=risc
Жабко Алексей Петрович,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/247-zhabko-aleksej-petrovich.html,Теории управления,https://www.elibrary.ru/author_items.asp?authorid=6601&show_refs=1
Жабко Наталия Алексеевна,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/248-zhabko-nataliya-alekseevna.html,Компьютерных технологий и систем,https://www.elibrary.ru/author_items.asp?authorid=320509&show_refs=1
Жукова Наталия Александровна,,Компьютерного моделирования и многопроцессорных систем,
Завадский Сергей Вячеславович,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/249-zavadskij-sergej-vyacheslavovich.html,Теории систем управления электрофизической аппаратурой,https://www.elibrary.ru/author_items.asp?authorid=610174&show_refs=1
Зараник Ульяна Петровна,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/251-zaranik-ulyana-petrovna.html,Теории управления,https://www.elibrary.ru/author_items.asp?authorid=799428&pubrole=100&show_refs=1&pubcat=risc
Захаров Виктор Васильевич,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/252-zakharov-viktor-vasilevich.html,Математического моделирования энергетических систем,https://www.elibrary.ru/author_items.asp?authorid=5502&show_refs=1
"Зенкевич, Николай Анатольевич",,Кафедра операционного менеджмента,https://www.elibrary.ru/author_items.asp?authorid=5503&pubrole=100&show_refs=1&pubcat=risc
Зубов Сергей Владимирович,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/256-zubov-sergej-vladimirovich.html,Математической теории микропроцессорных систем управления,https://www.elibrary.ru/author_items.asp?authorid=10171&show_refs=1
Иванов Геннадий Григорьевич,,Механики управляемого движения,
"Иванский, Юрий Владимирович",,Кафедра экономической кибернетики,https://www.elibrary.ru/author_items.asp?authorid=779810&pubrole=100&show_refs=1&pubcat=risc
"Ильин, Александр Алексеевич",,Кафедра вычислительных методов механики деформируемого тела,https://www.elibrary.ru/author_items.asp?authorid=1268742&pubrole=100&show_refs=1&pubcat=risc
